epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0601,1.16381,3.89381,1.4905,0.22941,0.45091,0.27662,0.21879,1.03481,10.5426,1.44353,9.999e-05,9.999e-05,9.999e-05
2,141.483,1.02195,2.44922,1.41748,0.42744,0.63212,0.46636,0.2855,1.24207,6.34728,1.75965,0.000209,0.000209,0.000209
3,214.282,0.9133,2.04133,1.33975,0.46007,0.68666,0.61346,0.44864,1.11887,4.38768,1.56854,0.000315811,0.000315811,0.000315811
4,275.716,0.98693,1.83856,1.33578,0.27182,0.43393,0.3738,0.2645,1.12685,12.4,1.592,0.000420421,0.000420421,0.000420421
5,334.827,1.02102,1.68536,1.30663,0.34832,0.38303,0.33698,0.19894,1.29353,27.9941,2.10371,0.000522832,0.000522832,0.000522832
6,393.227,1.02751,1.51542,1.33234,0.27556,0.42303,0.28954,0.1492,1.69493,11.851,3.52825,0.000623043,0.000623043,0.000623043
7,453.611,1.02519,1.51907,1.36088,0.49889,0.45091,0.31322,0.20801,1.28879,24.3879,2.30324,0.000721055,0.000721055,0.000721055
8,520.331,1.02857,1.42019,1.34974,0.23938,0.36818,0.23882,0.08485,2.09644,22.2266,6.71468,0.000816866,0.000816866,0.000816866
9,588.083,1.06838,1.44865,1.3492,0.29151,0.50196,0.16997,0.1048,1.59317,14.5891,2.6987,0.000910478,0.000910478,0.000910478
10,646.8,1.11043,1.53475,1.41686,0.03745,0.34303,0.03072,0.01697,1.99237,201.61,10.7673,0.00100189,0.00100189,0.00100189
11,711.423,1.09781,1.46654,1.40812,0.04795,0.15098,0.01319,0.00979,2.64767,inf,7.52831,0.00100101,0.00100101,0.00100101
12,780.721,1.02915,1.30811,1.30636,0.34627,0.34583,0.27718,0.17386,1.86479,283.164,3.08731,0.000990012,0.000990012,0.000990012
13,844.345,0.96461,1.20413,1.28606,0.4086,0.52152,0.43639,0.28941,1.30573,50.2966,2.00304,0.000979013,0.000979013,0.000979013
14,912.375,1.05028,1.25822,1.34357,0.44466,0.27793,0.21055,0.13187,1.73668,3.85083,2.595,0.000968014,0.000968014,0.000968014
15,978.914,1.03026,1.17833,1.32391,0.48512,0.39864,0.34384,0.25308,1.58098,3.40624,2.3513,0.000957015,0.000957015,0.000957015
